cosine,L,k,acc,touch,build_time,search_time
,2,16,1,227.33,4.890765468,0.101000301
,4,16,1,452.01,13.86835577,0.226840061
,8,16,1,1037.71,33.27233648,0.509245792
,16,16,1,1632.17,69.20966623,0.852952077
,2,32,0.99,14.76,9.714551999,0.025775082
,4,32,1,27.19,27.78900297,0.084016353
,8,32,1,42.96,65.43248301,0.170223057
,16,32,1,62.71,141.4145423,0.361099624
,2,64,1,11,20.04153032,0.046172542
,4,64,1,11.77,58.43425496,0.143669361
,8,64,1,12.77,132.0300498,0.313351273
,16,64,1,14.12,281.6504425,0.679794746
