leaf,touch,build_t,search_t
1000,100,177.377,0.000543
1000,200,173.404,0.000921
1000,300,179.264,0.000771
1000,400,175.748,0.000959
1000,500,175.621,0.001997
1000,600,173.059,0.002342
1000,700,180.803,0.001566
1000,800,174.501,0.001766
1000,900,176.454,0.003563
1000,1000,173.143,0.003977
2000,100,301.335,0.000258
2000,200,300.511,0.000701
2000,300,301.559,0.000567
2000,400,301.189,0.000699
2000,500,300.271,0.001429
2000,600,299.935,0.00098
2000,700,299.822,0.001096
2000,800,302.011,0.001811
2000,900,300.991,0.001412
2000,1000,300.5,0.001547
4000,100,561.921,0.000239
4000,200,559.492,0.000364
4000,300,559.171,0.000787
4000,400,559.8,0.000574
4000,500,558.602,0.000694
4000,600,557.706,0.00132
4000,700,561.489,0.000899
4000,800,556.844,0.000982
4000,900,556.563,0.001864
4000,1000,553.623,0.002035
8000,100,1080.686,0.000243
8000,200,1077.197,0.000363
8000,300,1078.245,0.000759
8000,400,1076.174,0.000866
8000,500,1077.04,0.000641
